epoch,learning_rate
1,2.9999999242136255e-05
2,2.9999999242136255e-05
3,2.9999999242136255e-05
4,2.9999999242136255e-05
5,2.9999999242136255e-05
6,2.9999999242136255e-05
7,2.9999999242136255e-05
8,2.9999999242136255e-05
9,2.9999999242136255e-05
10,2.9999999242136255e-05
11,2.9999999242136255e-05
12,2.9999999242136255e-05
13,2.9999999242136255e-05
14,2.9999999242136255e-05
15,2.9999999242136255e-05
16,2.9999999242136255e-05
17,2.9999999242136255e-05
18,2.9999999242136255e-05
19,2.9999999242136255e-05
20,2.9999999242136255e-05
21,2.9999999242136255e-05
22,2.9999999242136255e-05
23,2.9999999242136255e-05
24,2.9999999242136255e-05
25,2.9999998787388904e-06
26,2.9999998787388904e-06
27,2.9999998787388904e-06
28,2.9999998787388904e-06
29,2.9999998787388904e-06
30,2.9999998787388904e-06
31,2.9999998787388904e-06
32,2.9999998787388904e-06
33,2.9999998787388904e-06
34,2.9999998787388904e-06
35,2.9999998787388904e-06
36,2.9999998787388904e-06
37,2.9999998787388904e-06
38,2.9999998787388904e-06
39,2.9999998787388904e-06
40,2.9999998787388904e-06
41,2.9999998787388904e-06
42,2.9999998787388904e-06
43,2.9999998787388904e-06
44,2.9999998787388904e-06
45,2.9999998218954715e-07
46,2.9999998218954715e-07
47,2.9999998218954715e-07
48,2.9999998218954715e-07
49,2.9999998218954715e-07
50,2.9999998218954715e-07
51,2.9999998218954715e-07
52,2.9999998218954715e-07
53,2.9999998218954715e-07
54,2.9999998218954715e-07
