epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,1.333169150352478,1e-04,0.26664174,153293570.0,0.08220222,0.052318383,0.28643617,1.3782260417938232,0.3226611614227295,177720784.0,0.13287782669067383,0.08366446197032928,0.36452409625053406
1,1.3118439674377442,1e-04,0.2505856,115832560.0,0.070359126,0.04120348,0.26485136,1.366754174232483,0.320967435836792,175847904.0,0.13112902641296387,0.08273971080780029,0.3621174097061157
2,1.2978406429290772,1e-04,0.235467,90696160.0,0.0661695,0.035091147,0.2563485,1.3560045957565308,0.32082438468933105,177906176.0,0.13029681146144867,0.08247864246368408,0.3609665036201477
3,1.2848859786987306,1e-04,0.22680521,84417780.0,0.06316308,0.0323799,0.2511305,1.3431483507156372,0.31694722175598145,172701216.0,0.1274080127477646,0.08070638030767441,0.3569425940513611
4,1.272271704673767,1e-04,0.21587071,78364650.0,0.060525663,0.02953906,0.24585097,1.3317502737045288,0.31594032049179077,171280032.0,0.12601134181022644,0.07994680106639862,0.3549807667732239
5,1.2618592977523804,1e-04,0.21169862,76095280.0,0.060137033,0.02902675,0.24473722,1.3208770751953125,0.31531527638435364,173686960.0,0.12520155310630798,0.07971182465553284,0.35383832454681396
6,1.2496199131011962,1e-04,0.20359811,70302670.0,0.057979994,0.02710165,0.24024794,1.310213327407837,0.31494590640068054,175878368.0,0.12463553249835968,0.07961706817150116,0.353037565946579
7,1.236132264137268,1e-04,0.19825807,72139120.0,0.05461376,0.025621096,0.23362157,1.2969177961349487,0.31081053614616394,170773152.0,0.12148912250995636,0.07766227424144745,0.3485529124736786
8,1.226169729232788,1e-04,0.19525538,64426060.0,0.05477346,0.02485117,0.23391621,1.2865040302276611,0.31075793504714966,173066480.0,0.12115474790334702,0.07769137620925903,0.34807291626930237
9,1.2154738664627076,1e-04,0.19349562,65821708.0,0.054148626,0.024518587,0.23258999,1.2731506824493408,0.3055863082408905,168135648.0,0.11785481125116348,0.07565325498580933,0.34329989552497864
10,1.204251480102539,1e-04,0.18962476,63463830.0,0.052969057,0.023747727,0.23009196,1.2612248659133911,0.30312833189964294,166575168.0,0.11595392227172852,0.07459154725074768,0.34052008390426636
11,1.19365451335907,1e-04,0.19067378,66118028.0,0.052373804,0.02390593,0.22880618,1.251141905784607,0.3042025566101074,168709424.0,0.1158367320895195,0.07471837848424911,0.34034794569015503
12,1.1824086427688598,1e-04,0.1873424,63898710.0,0.05107087,0.023079798,0.22591782,1.2387439012527466,0.3010917007923126,163682528.0,0.11334754526615143,0.07312479615211487,0.33667126297950745
13,1.1728842973709106,1e-04,0.18752009,61956360.0,0.05143098,0.022942936,0.2266664,1.2263492345809937,0.29695284366607666,162220384.0,0.11079833656549454,0.07168350368738174,0.33286383748054504
14,1.1625588893890382,1e-04,0.18643284,62929620.0,0.050923884,0.022952711,0.22544846,1.214487075805664,0.29482585191726685,157467456.0,0.10871346294879913,0.07027658820152283,0.3297172486782074
