epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,1.2986579906372797,1e-04,0.2254056,103853640.0,0.06257136,0.036254548,0.2489939,1.3506017923355103,0.33955156803131104,211984656.0,0.14345960319042206,0.09155236929655075,0.37861326336860657
1,1.243005531174796,1e-04,0.18493488,69389980.0,0.04847744,0.023821913,0.21942659,1.3188939094543457,0.3338841497898102,212424448.0,0.13736802339553833,0.08856034278869629,0.37053999304771423
2,1.1961031414213634,1e-04,0.16952725,62640350.0,0.043685522,0.020567695,0.20872572,1.2591619491577148,0.32028234004974365,202410112.0,0.12728573381900787,0.08261847496032715,0.3567364513874054
3,1.1524591616221838,1e-04,0.16572747,62890530.0,0.041530423,0.019804468,0.20334351,1.2092006206512451,0.30980339646339417,197461056.0,0.11900170892477036,0.07788343727588654,0.3449370861053467
4,1.1103937398819697,1e-04,0.16075346,59893920.0,0.039754074,0.01874434,0.19903482,1.16244637966156,0.30039098858833313,191321968.0,0.11128226667642593,0.07358414679765701,0.33349737524986267
5,1.0704268727983748,1e-04,0.15822123,57701524.0,0.03883262,0.018165972,0.19640143,1.1200791597366333,0.2908903658390045,181465136.0,0.10380563139915466,0.06901989132165909,0.32193902134895325
6,1.0314223028364635,1e-04,0.15387142,55833644.0,0.037430253,0.017354729,0.1931513,1.0686557292938232,0.27808472514152527,172381520.0,0.09470949321985245,0.06352531164884567,0.30770447850227356
7,0.9943058490753174,1e-04,0.15354034,56477136.0,0.036680773,0.017194297,0.191154,1.0280280113220215,0.2671619951725006,165446576.0,0.0872330293059349,0.059138327836990356,0.29531869292259216
8,0.9595281169528053,1e-04,0.15143208,52865896.0,0.036956597,0.01700891,0.19137777,0.9927231669425964,0.25835952162742615,158238192.0,0.08103502541780472,0.05527211353182793,0.284578412771225
9,0.9254525445756459,1e-04,0.1524553,55909096.0,0.036588512,0.017223068,0.1905453,0.9377611875534058,0.24072958528995514,141345776.0,0.0708475336432457,0.048510175198316574,0.2659566402435303
10,0.8910098132633028,1e-04,0.14913604,54716216.0,0.034629542,0.016316582,0.18563536,0.9137815237045288,0.23482923209667206,139347616.0,0.06677895784378052,0.04599666967988014,0.2582538425922394
11,0.8593899550892058,1e-04,0.14729035,54269370.0,0.034293942,0.016246447,0.18447812,0.865044116973877,0.2176097184419632,123786912.0,0.05770029127597809,0.04012491926550865,0.24010486900806427
12,0.8283010863122486,1e-04,0.1442599,51569172.0,0.03336405,0.015480738,0.18229803,0.827843964099884,0.20692561566829681,120455752.0,0.05236727371811867,0.03669942542910576,0.22879867255687714
13,0.7995723798161462,1e-04,0.14618516,53805720.0,0.033657532,0.015909681,0.18257576,0.802232563495636,0.19787515699863434,115781608.0,0.047864701598882675,0.033760011196136475,0.2186359018087387
14,0.7708987678800311,1e-04,0.14369538,52988130.0,0.03283041,0.015506871,0.18062128,0.7638298273086548,0.18246765434741974,104787064.0,0.040987905114889145,0.02942333184182644,0.2023547738790512
15,0.7431813875834147,1e-04,0.1436839,53696720.0,0.031993687,0.015354095,0.17853399,0.7324747443199158,0.17367179691791534,96645816.0,0.036972735077142715,0.026260823011398315,0.19215644896030426
16,0.7173027566501072,1e-04,0.14314014,53464544.0,0.031987842,0.0154023515,0.17830499,0.7061690092086792,0.16342602670192719,92607448.0,0.03297937288880348,0.02371138334274292,0.18149156868457794
17,0.6915187551861718,1e-04,0.13959724,49952576.0,0.031027934,0.014582292,0.17562285,0.6770864129066467,0.15493083000183105,88566400.0,0.029607439413666725,0.02131814695894718,0.17203758656978607
18,0.6670163529259818,1e-04,0.14055465,53236990.0,0.030493304,0.014782608,0.17442833,0.650021493434906,0.14454872906208038,79730856.0,0.0260185394436121,0.018704049289226532,0.1612158566713333
19,0.6437488680794126,1e-04,0.13846928,51921596.0,0.030233605,0.014497618,0.17299655,0.6231689453125,0.1349915713071823,71964000.0,0.02272937260568142,0.016250239685177803,0.15066124498844147
20,0.6209772825241089,1e-04,0.13752031,50812636.0,0.029611465,0.014246072,0.17142709,0.6036174297332764,0.13228000700473785,70247000.0,0.021815890446305275,0.015436537563800812,0.147673562169075
21,0.5991365852810088,1e-04,0.13661313,51788230.0,0.029007798,0.01413561,0.1700457,0.5789579153060913,0.12476825714111328,65639100.0,0.019950084388256073,0.013839504681527615,0.14113296568393707
22,0.5785095038868132,1e-04,0.13571085,50998532.0,0.02881982,0.013969411,0.16934496,0.56026691198349,0.12262078374624252,61713024.0,0.01947653479874134,0.013224001973867416,0.13942231237888336
23,0.5594517077718463,1e-04,0.13547875,49504840.0,0.029389385,0.014038062,0.17041118,0.5385778546333313,0.1172466054558754,60270156.0,0.017639286816120148,0.01185450330376625,0.13256455957889557
24,0.5391923245929536,1e-04,0.13382807,51155468.0,0.027989507,0.0136808045,0.16677095,0.5185927748680115,0.11120905727148056,53118560.0,0.016648272052407265,0.010630046017467976,0.1289552003145218
25,0.5208248779887245,1e-04,0.13275568,49617240.0,0.027717253,0.01344072,0.16608903,0.5001591444015503,0.10998671501874924,50069616.0,0.016835227608680725,0.01028581615537405,0.12935681641101837
26,0.5029379157792955,1e-04,0.13151133,49873664.0,0.027219733,0.013213437,0.16458127,0.4807596802711487,0.10613318532705307,46918416.0,0.015946751460433006,0.009634441696107388,0.1257612705230713
27,0.4858308207421076,1e-04,0.13070522,49064188.0,0.026826188,0.013064488,0.16309391,0.46371161937713623,0.10395342856645584,46877360.0,0.01580960862338543,0.009347251616418362,0.1252579540014267
28,0.46946358396893456,1e-04,0.1302449,49661100.0,0.026541755,0.0130317975,0.16253196,0.4489324688911438,0.10518169403076172,47266932.0,0.01567540317773819,0.00940610934048891,0.12494677305221558
29,0.4541107103938148,1e-04,0.12906301,47964064.0,0.026614418,0.012845649,0.16243008,0.4351760149002075,0.10342689603567123,46568832.0,0.015971830114722252,0.009241243824362755,0.12614814937114716
30,0.43940955258551095,1e-04,0.13200134,50861204.0,0.02671153,0.013381492,0.16311811,0.4196615517139435,0.10110340267419815,40628368.0,0.01619190350174904,0.008674832992255688,0.12669521570205688
31,0.42460730104219346,1e-04,0.12770529,46893292.0,0.026113229,0.0125851715,0.1609336,0.4060160517692566,0.09927576035261154,39788732.0,0.016081979498267174,0.008447186090052128,0.12651708722114563
32,0.41013400895254953,1e-04,0.12905483,50521240.0,0.025281472,0.012770118,0.15839116,0.3929316997528076,0.10061070322990417,40286876.0,0.016615407541394234,0.008658641017973423,0.1286846548318863
33,0.3966864673864274,1e-04,0.12630561,48228012.0,0.024918752,0.012326608,0.15740603,0.3817982077598572,0.10318983346223831,42946828.0,0.01650399900972843,0.009025514125823975,0.12817738950252533
