epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,0.15957672595977784,1e-05,0.13084245,2054070.0,0.04708233,0.017105954,0.2163099,0.276667982339859,0.283435195684433,1660209.875,0.16418805718421936,0.06318261474370956,0.405201256275177
1,0.1580159306526184,1e-05,0.12693545,2275558.8,0.045545857,0.01658963,0.21333794,0.27084818482398987,0.27539879083633423,1850329.875,0.1583930104970932,0.06086811423301697,0.39798620343208313
2,0.1574340432882309,1e-05,0.12508078,2507465.5,0.044988703,0.016276006,0.21183665,0.2628887891769409,0.2614522874355316,2127234.5,0.15045806765556335,0.05771975219249725,0.38788923621177673
3,0.15490339398384095,1e-05,0.12350412,2683024.8,0.042482264,0.015487927,0.20599303,0.2588023245334625,0.256462961435318,2344636.0,0.1463952660560608,0.056046947836875916,0.3826163411140442
4,0.1536996841430664,1e-05,0.119960606,3262798.5,0.041301638,0.015117164,0.20319982,0.25427642464637756,0.25088998675346375,2699310.0,0.14189210534095764,0.0542897991836071,0.3766856789588928
5,0.1510591834783554,1e-05,0.11776491,3571652.5,0.038684063,0.014094947,0.19660899,0.2500133216381073,0.24387234449386597,3157156.0,0.13765156269073486,0.05279433727264404,0.37101423740386963
6,0.15073187053203582,1e-05,0.11580014,4451707.0,0.03837883,0.014280448,0.1958129,0.24427667260169983,0.23556193709373474,3767521.0,0.13193628191947937,0.05074525624513626,0.3632303476333618
7,0.14727705121040344,1e-05,0.11106704,4836742.5,0.03494501,0.013007818,0.18672442,0.24156366288661957,0.23088973760604858,4546595.0,0.12924405932426453,0.04969881474971771,0.359505295753479
8,0.14345733523368837,1e-05,0.106525995,4939429.0,0.03114602,0.011720561,0.17624736,0.2343231737613678,0.21917560696601868,5462317.5,0.12202419340610504,0.04722106456756592,0.34931960701942444
9,0.14193297624588014,1e-05,0.10386851,6299408.5,0.029641826,0.01136907,0.17196402,0.23061634600162506,0.21603314578533173,6409806.0,0.11833690851926804,0.0460243821144104,0.34400132298469543
10,0.13861532211303712,1e-05,0.09992875,6902753.0,0.026343215,0.010433805,0.16177586,0.2266136109828949,0.20989954471588135,7660021.0,0.11435240507125854,0.04473321512341499,0.33816033601760864
11,0.13614826202392577,1e-05,0.09519532,9118805.0,0.023894306,0.00965335,0.15451857,0.21815501153469086,0.19767051935195923,9278020.0,0.10591177642345428,0.042086124420166016,0.3254408836364746
