epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,0.14031383395195007,1e-05,0.09025495,14405221.0,0.019128378,0.008726111,0.1378798,0.1801474541425705,0.16899621486663818,14232866.0,0.058971915394067764,0.025095848366618156,0.24284133315086365
1,0.13673293888568877,1e-05,0.08268517,16365318.0,0.015564328,0.0073313825,0.124597885,0.16911281645298004,0.1596493422985077,16604315.0,0.04795457422733307,0.020879870280623436,0.21898533403873444
2,0.1344013214111328,1e-05,0.07780305,17308132.0,0.013250425,0.0063900305,0.114292085,0.1636834293603897,0.15730613470077515,19427268.0,0.042543843388557434,0.018469251692295074,0.20626159012317657
3,0.13252533674240113,1e-05,0.07580398,20701522.0,0.011393651,0.0058049783,0.10666342,0.1595296561717987,0.1548784375190735,21723428.0,0.03841041028499603,0.0167495459318161,0.19598573446273804
4,0.13192274868488313,1e-05,0.075682014,21951232.0,0.010812792,0.0055225473,0.10367292,0.15697671473026276,0.15132340788841248,24166690.0,0.03588183969259262,0.015727270394563675,0.1894250214099884
5,0.13091477751731873,1e-05,0.07304807,23367584.0,0.009831284,0.005233805,0.09896096,0.15422478318214417,0.14590179920196533,26600268.0,0.033158816397190094,0.014783177524805069,0.18209561705589294
6,0.13066911101341247,1e-05,0.07131322,23749888.0,0.009615068,0.005057396,0.09785333,0.1510905623435974,0.1391378492116928,27780204.0,0.03005480021238327,0.013444461859762669,0.17336320877075195
7,0.1304777592420578,1e-05,0.07213384,25548406.0,0.009454669,0.0051259673,0.09715959,0.14859920740127563,0.13411177694797516,27253320.0,0.02759530395269394,0.012447173707187176,0.1661183387041092
8,0.1302570641040802,1e-05,0.07085435,24038112.0,0.009266235,0.004886816,0.09609765,0.14615873992443085,0.1284153163433075,28057294.0,0.025187529623508453,0.011453194543719292,0.15870580077171326
9,0.13019392788410186,1e-05,0.071388945,24981460.0,0.009236166,0.0048949667,0.09595676,0.14436516165733337,0.12446777522563934,26818176.0,0.023427492007613182,0.01062922552227974,0.1530604213476181
10,0.13057184219360352,1e-05,0.071432635,23852318.0,0.0096474355,0.0049890904,0.09786644,0.14257800579071045,0.11952515691518784,26035776.0,0.02167346701025963,0.009872542694211006,0.14721910655498505
11,0.1305072486400604,1e-05,0.07178314,24334058.0,0.0096159,0.0050893053,0.097849384,0.14125920832157135,0.11546696722507477,26322774.0,0.020387429744005203,0.009355418384075165,0.14278455078601837
12,0.12957200706005095,1e-05,0.06948388,24031972.0,0.008713226,0.0046957196,0.09273966,0.1402517408132553,0.11234836280345917,25267560.0,0.019412219524383545,0.008884008042514324,0.139327734708786
13,0.13017071783542633,1e-05,0.071603976,24814720.0,0.009344054,0.0049311304,0.09650153,0.13987189531326294,0.11112134158611298,25274766.0,0.019064495339989662,0.008709042333066463,0.13807423412799835
14,0.12995543777942659,1e-05,0.071425855,24209780.0,0.009160779,0.004863859,0.094918236,0.13900013267993927,0.10900087654590607,25104140.0,0.018224474042654037,0.008363893255591393,0.13499805331230164
15,0.12922482788562775,1e-05,0.06826429,23484678.0,0.00846189,0.0045079053,0.09169631,0.13805902004241943,0.10570209473371506,25223516.0,0.017315097153186798,0.008003300987184048,0.13158684968948364
16,0.12917059957981109,1e-05,0.06835436,23237552.0,0.00843927,0.0045080436,0.091696456,0.13734616339206696,0.10309375077486038,25787636.0,0.016633659601211548,0.007692207116633654,0.12897154688835144
17,0.12906748354434966,1e-05,0.06885028,24102540.0,0.008367362,0.00456329,0.09130879,0.13715440034866333,0.10194723308086395,25650922.0,0.01647299900650978,0.007585995364934206,0.12834718823432922
18,0.12927889525890351,1e-05,0.069315776,23445060.0,0.008610194,0.004583969,0.092535436,0.137004554271698,0.10168750584125519,25961096.0,0.016354886814951897,0.007516757119446993,0.12788622081279755
19,0.12916708290576934,1e-05,0.06898774,25993478.0,0.008530127,0.0047057485,0.092180416,0.1368105411529541,0.10065748542547226,25493618.0,0.016192670911550522,0.007417796645313501,0.12725043296813965
20,0.12978664338588713,1e-05,0.071995474,23610936.0,0.009181619,0.0048455345,0.09547673,0.13609731197357178,0.09800383448600769,25085076.0,0.01551146898418665,0.007104207761585712,0.12454504519701004
