epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,1.3203188578287761,1e-04,0.26133224,108570390.0,0.084690474,0.045665056,0.2906638,1.3441139459609985,0.33204033970832825,210695216.0,0.14060203731060028,0.09098917990922928,0.3747975528240204
1,1.2672892695381528,1e-04,0.22370204,76190984.0,0.073901415,0.034388702,0.2715331,1.3126758337020874,0.3259035050868988,210416768.0,0.13433606922626495,0.08793918043375015,0.36639848351478577
2,1.219224112374442,1e-04,0.20278294,62878336.0,0.068286926,0.02975523,0.2610469,1.2555471658706665,0.31216803193092346,200986304.0,0.12414904683828354,0.08212932199239731,0.3523072302341461
3,1.1754362469627744,1e-04,0.19819663,63124664.0,0.066289835,0.02905286,0.2570811,1.2042851448059082,0.3007136583328247,195054400.0,0.11534086614847183,0.077182836830616,0.33956071734428406
4,1.1334620203290666,1e-04,0.19430025,60065300.0,0.064900264,0.028168468,0.25437126,1.1585025787353516,0.2911200523376465,190963984.0,0.10766702890396118,0.07280311733484268,0.328047513961792
5,1.0932353224073137,1e-04,0.19285943,59859910.0,0.06402878,0.027905254,0.252715,1.1111674308776855,0.28013861179351807,180031744.0,0.09941234439611435,0.06793859601020813,0.31505998969078064
6,1.0542669466563634,1e-04,0.18735392,55278930.0,0.06291878,0.026850814,0.2505652,1.0623753070831299,0.26770535111427307,171004928.0,0.09086417406797409,0.06271854043006897,0.30142495036125183
7,1.017070784455254,1e-04,0.18783084,57020052.0,0.06235255,0.0269587,0.24945606,1.0216503143310547,0.2574317753314972,163109888.0,0.08365467935800552,0.05841158330440521,0.28920435905456543
8,0.9816421752884275,1e-04,0.18773614,57068652.0,0.06223925,0.02709061,0.24902691,0.9855000972747803,0.24778848886489868,158534832.0,0.07708054035902023,0.05439930781722069,0.27754899859428406
9,0.9464934468269348,1e-04,0.18504736,54945736.0,0.06106447,0.026300827,0.24687776,0.9321140050888062,0.23183125257492065,143594704.0,0.06800106912851334,0.048391252756118774,0.26058852672576904
10,0.9134620910599118,1e-04,0.18524095,57198292.0,0.060750745,0.026514431,0.24602568,0.9034857153892517,0.22421808540821075,140381584.0,0.06267265230417252,0.045045156031847,0.2502795457839966
11,0.8810717406727019,1e-04,0.18190996,54335988.0,0.05982879,0.025916196,0.24395145,0.8571144342422485,0.2099391371011734,124759608.0,0.055051904171705246,0.039865776896476746,0.23453938961029053
12,0.8497903772762844,1e-04,0.17993905,52846240.0,0.058854245,0.025255831,0.24220353,0.8221661448478699,0.2000565379858017,121888320.0,0.04985269531607628,0.036437176167964935,0.22320856153964996
13,0.8201212428864979,1e-04,0.18127884,56123464.0,0.05826263,0.025502779,0.24066445,0.795468807220459,0.19339555501937866,118101992.0,0.04594628885388374,0.03385664522647858,0.21420232951641083
14,0.7922224203745524,1e-04,0.17891166,53094400.0,0.058270425,0.025143549,0.24085543,0.7595643401145935,0.17981640994548798,105489760.0,0.03974444791674614,0.02946513704955578,0.19932033121585846
15,0.7646621494066148,1e-04,0.17728437,52239240.0,0.05762852,0.024845084,0.23965108,0.7268596291542053,0.17090849578380585,98876520.0,0.035814572125673294,0.026490485295653343,0.18914686143398285
16,0.7384085087549119,1e-04,0.18026754,55782904.0,0.057234764,0.02520991,0.23888987,0.6997132301330566,0.16335970163345337,93847256.0,0.03222665563225746,0.023975014686584473,0.1794174760580063
17,0.7141938890729632,1e-04,0.17762257,51643264.0,0.05780039,0.024980363,0.23994109,0.6711695194244385,0.1543111652135849,89006480.0,0.028990546241402626,0.02158237434923649,0.170247420668602
18,0.6884552467437017,1e-04,0.17574964,53744760.0,0.055944234,0.024403725,0.23615131,0.6513901948928833,0.15116699039936066,84084272.0,0.028070278465747833,0.020602218806743622,0.1673228144645691
19,0.6653281790869576,1e-04,0.17432617,52554264.0,0.055741888,0.024194608,0.23575756,0.6216668486595154,0.14368389546871185,76460216.0,0.025106104090809822,0.018311530351638794,0.1583070158958435
20,0.6423221145357404,1e-04,0.17471494,54668616.0,0.054805215,0.024223665,0.23378962,0.600494384765625,0.13875962793827057,72527088.0,0.0237110685557127,0.017021464183926582,0.15388017892837524
21,0.6213097033046541,1e-04,0.17458043,53773704.0,0.055002302,0.024194479,0.23428969,0.5772855281829834,0.13342702388763428,67818424.0,0.021921513602137566,0.015390011481940746,0.14803676307201385
22,0.6006274336860293,1e-04,0.17387746,54150412.0,0.05473231,0.024162058,0.23347114,0.5564445853233337,0.13110096752643585,66116324.0,0.021328995004296303,0.01487546693533659,0.1460271030664444
