epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,0.13712529540061952,5e-05,0.084716305,16865910.0,0.016244663,0.0076268627,0.12605248,0.16920143365859985,0.17489750683307648,24396872.0,0.04837135970592499,0.021248525008559227,0.21993489563465118
1,0.13113851249217987,5e-05,0.07480023,25770476.0,0.010358035,0.0055317623,0.10137401,0.1618795245885849,0.16379308700561523,34418144.0,0.041180603206157684,0.018804587423801422,0.2029300481081009
2,0.13074226379394532,5e-05,0.076020606,26952810.0,0.01010155,0.005434266,0.09999816,0.1497003734111786,0.13846930861473083,30421858.0,0.02914632298052311,0.013732700608670712,0.17072294652462006
3,0.12930463254451752,5e-05,0.07036422,24383722.0,0.008808137,0.0047760336,0.09362237,0.14735855162143707,0.12968194484710693,25426776.0,0.02694874070584774,0.01242221612483263,0.16416071355342865
4,0.12948055565357208,5e-05,0.071557716,23854284.0,0.009127969,0.0048153503,0.09524792,0.14514799416065216,0.1264055371284485,25984388.0,0.024881022050976753,0.01143986638635397,0.15773719549179077
5,0.12874653339385986,5e-05,0.07107351,24972936.0,0.008536285,0.0047030984,0.092215344,0.14246824383735657,0.12051010131835938,27060772.0,0.022342251613736153,0.010609261691570282,0.14947324991226196
6,0.12828518450260162,5e-05,0.067324534,23302012.0,0.008214304,0.0043800836,0.090437375,0.14028142392635345,0.11427871137857437,27715000.0,0.02029309794306755,0.009971627965569496,0.1424538493156433
7,0.12827138006687164,5e-05,0.06829168,24161542.0,0.00833853,0.004542651,0.09125883,0.1390039473772049,0.11308157444000244,26599898.0,0.019153743982315063,0.009258542209863663,0.13839705288410187
8,0.1278471529483795,5e-05,0.06835707,23056640.0,0.008051542,0.004243768,0.08966553,0.1388346403837204,0.11139921098947525,25878272.0,0.019120557233691216,0.00901962909847498,0.1382770985364914
9,0.12732555270195006,5e-05,0.06603197,22439036.0,0.0076661943,0.0040312535,0.08739559,0.1376614272594452,0.10650282353162766,23027050.0,0.018084708601236343,0.008551303297281265,0.13447940349578857
10,0.12775579392910003,5e-05,0.06613993,20911536.0,0.008234451,0.004182076,0.090537205,0.13521070778369904,0.10164127498865128,23989712.0,0.01577259972691536,0.007650009356439114,0.1255890130996704
11,0.1274692565202713,5e-05,0.067507975,22570828.0,0.008086303,0.004281038,0.089737564,0.1342935562133789,0.09970474243164062,25579580.0,0.014992844313383102,0.007280625868588686,0.12244527041912079
12,0.12652721107006074,5e-05,0.06616307,22793908.0,0.007281804,0.0039367173,0.08500303,0.13282573223114014,0.09474080801010132,24217068.0,0.013662821613252163,0.0067090787924826145,0.11688807606697083
13,0.12676186859607697,5e-05,0.06643246,22887924.0,0.0076537603,0.0040345937,0.08742221,0.13211630284786224,0.09179224073886871,22928886.0,0.013090218417346478,0.006447894498705864,0.11441249400377274
14,0.1264970749616623,5e-05,0.06563946,21674948.0,0.007525875,0.0039692344,0.08628138,0.13136345148086548,0.09000103175640106,22875180.0,0.012474630028009415,0.006173864938318729,0.11168988049030304
15,0.1257719874382019,5e-05,0.063187346,21087950.0,0.0069383928,0.0036746461,0.083053984,0.13033750653266907,0.08696594834327698,23095234.0,0.011586938053369522,0.005801810882985592,0.10764264315366745
16,0.12549182921648025,5e-05,0.062465806,20957142.0,0.0067967786,0.0036394726,0.082160875,0.1297120749950409,0.08545989543199539,23916088.0,0.011100586503744125,0.0055314465425908566,0.10535932332277298
17,0.12534838318824768,5e-05,0.06414559,22353268.0,0.006792591,0.0037230533,0.08213546,0.12958575785160065,0.08531062304973602,23854114.0,0.011113258078694344,0.005458598956465721,0.10541944205760956
18,0.12552131712436676,5e-05,0.06446169,20922484.0,0.007104038,0.003750172,0.08395384,0.12881027162075043,0.08243837207555771,22062540.0,0.010475854389369488,0.005219407845288515,0.10235162079334259
19,0.12517016679048537,5e-05,0.06255846,22360854.0,0.0068916855,0.0037438148,0.08288014,0.12825116515159607,0.08092328161001205,22151700.0,0.010056799277663231,0.005030243657529354,0.10028359293937683
20,0.1256987378001213,5e-05,0.06580808,20574288.0,0.0075601176,0.003932572,0.08676382,0.12775374948978424,0.07933437824249268,21896436.0,0.009698508307337761,0.004850691184401512,0.09848100692033768
21,0.1253480553627014,5e-05,0.065768614,22657980.0,0.007348448,0.003986665,0.085297495,0.12741954624652863,0.0792236179113388,22621512.0,0.009503288194537163,0.004756703972816467,0.09748481214046478
22,0.1251777708530426,5e-05,0.06586512,23036058.0,0.007316972,0.003992054,0.08550916,0.12740077078342438,0.08021034300327301,22247244.0,0.009623220190405846,0.004768794402480125,0.09809800982475281
23,0.12433950901031494,5e-05,0.063283965,21439540.0,0.006617048,0.0035524995,0.08072694,0.12677554786205292,0.07780639827251434,22000954.0,0.009136202745139599,0.004550452344119549,0.0955834835767746
