epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,1.343972420692444,1e-04,0.2833334,161520580.0,0.09291445,0.05876466,0.30427155,1.3863554000854492,0.33991193771362305,181611488.0,0.14077617228031158,0.08387698233127594,0.3752015233039856
1,1.3221242666244506,1e-04,0.26832634,121507920.0,0.08030312,0.04684769,0.28330666,1.376112699508667,0.3396453857421875,179806256.0,0.14002647995948792,0.08348429203033447,0.37420111894607544
2,1.3060123920440674,1e-04,0.25054163,96693850.0,0.07381987,0.039565187,0.27163553,1.3654054403305054,0.33854353427886963,185691936.0,0.13906502723693848,0.08349717408418655,0.37291422486305237
3,1.2938538074493409,1e-04,0.24065533,88746590.0,0.07142254,0.03690335,0.266952,1.3515294790267944,0.3324764370918274,176789056.0,0.13497374951839447,0.08056294918060303,0.3673877418041229
4,1.2795007705688477,1e-04,0.22845435,83389810.0,0.06686834,0.033486187,0.2583452,1.3399986028671265,0.330846905708313,175471408.0,0.13326171040534973,0.07964581996202469,0.3650502860546112
5,1.2674906730651856,1e-04,0.22179358,82452590.0,0.06469153,0.032374077,0.25382608,1.329647421836853,0.331045925617218,178027808.0,0.13277748227119446,0.07986102998256683,0.3643864393234253
6,1.2552802562713623,1e-04,0.21450293,78624050.0,0.062391084,0.030211318,0.2496104,1.319092035293579,0.33063459396362305,180271664.0,0.13220280408859253,0.07975611090660095,0.36359703540802
7,1.2452888011932373,1e-04,0.21258056,80307624.0,0.062376857,0.03036786,0.24958651,1.3064310550689697,0.3273407220840454,175180736.0,0.12948176264762878,0.07805641740560532,0.35983574390411377
8,1.2317128658294678,1e-04,0.20399375,71863096.0,0.0587276,0.027643472,0.24227273,1.2960326671600342,0.32687586545944214,177601712.0,0.12899351119995117,0.07797501236200333,0.35915666818618774
9,1.2196088552474975,1e-04,0.20042542,72918280.0,0.056545448,0.026686538,0.2376945,1.2841815948486328,0.3246060311794281,172657264.0,0.12706638872623444,0.07640118896961212,0.3564637303352356
10,1.2084307670593262,1e-04,0.19407684,69637570.0,0.055282265,0.025530705,0.23502222,1.272057056427002,0.3219316601753235,171073824.0,0.1248437762260437,0.07525795698165894,0.35333240032196045
11,1.1979806661605834,1e-04,0.19585113,73192830.0,0.054716874,0.02619056,0.23337522,1.2612884044647217,0.3208629786968231,173273504.0,0.12393427640199661,0.07513558864593506,0.3520430028438568
12,1.1868677139282227,1e-04,0.19315127,71279280.0,0.053442348,0.025267292,0.23083787,1.2488179206848145,0.31750941276550293,168240848.0,0.12126568704843521,0.07331749051809311,0.348232239484787
13,1.176738452911377,1e-04,0.19162661,70451160.0,0.053082965,0.024785008,0.2302377,1.2369928359985352,0.31470417976379395,166710560.0,0.11917275190353394,0.07220599055290222,0.3452140688896179
14,1.1668951511383057,1e-04,0.19136605,69966830.0,0.0529476,0.02488527,0.23005278,1.2243086099624634,0.3096180558204651,161904896.0,0.11616373062133789,0.0703725516796112,0.340828001499176
15,1.1559283494949342,1e-04,0.18554462,65468628.0,0.05163948,0.02352658,0.22716048,1.21420156955719,0.310465008020401,163646176.0,0.11569682508707047,0.07029272615909576,0.3401423692703247
16,1.1460495471954346,1e-04,0.18568325,65713524.0,0.051380984,0.023539228,0.22665319,1.2038519382476807,0.3097153306007385,165443488.0,0.11492238938808441,0.07005263864994049,0.3390020430088043
17,1.1370355367660523,1e-04,0.18743911,65715796.0,0.05192076,0.023892323,0.22752123,1.191518783569336,0.3059561252593994,160410464.0,0.11210223287343979,0.06816709786653519,0.33481672406196594
18,1.1259683847427369,1e-04,0.18189585,62194240.0,0.05032903,0.022691028,0.22420362,1.18004310131073,0.3025883734226227,159006416.0,0.11005539447069168,0.06708287447690964,0.331745982170105
19,1.11734938621521,1e-04,0.18473773,68683250.0,0.05110476,0.023605762,0.22600958,1.1679991483688354,0.29844701290130615,154193952.0,0.10735754668712616,0.06527236104011536,0.3276546001434326
20,1.1061039924621583,1e-04,0.17793164,61768416.0,0.04918281,0.02202695,0.22152588,1.1564465761184692,0.29482340812683105,152566640.0,0.10509631037712097,0.06408457458019257,0.3241856098175049
21,1.0981349706649781,1e-04,0.18342185,68128264.0,0.0504824,0.023487167,0.22440776,1.1472854614257812,0.29669439792633057,154416032.0,0.10517103970050812,0.06433162093162537,0.3243008553981781
22,1.0886598348617553,1e-04,0.1817945,68051430.0,0.05021919,0.02318043,0.22391126,1.1364573240280151,0.2945409119129181,155439888.0,0.10350814461708069,0.06356662511825562,0.32172682881355286
23,1.0770906448364257,1e-04,0.1742038,58516492.0,0.04777714,0.02116995,0.21743011,1.1254324913024902,0.29180216789245605,150655904.0,0.1015586107969284,0.06198437884449959,0.31868261098861694
24,1.0675721406936645,1e-04,0.17175254,54765868.0,0.047302857,0.020523438,0.21734694,1.1139602661132812,0.28813421726226807,149283424.0,0.09909998625516891,0.06078917905688286,0.31480151414871216
25,1.0598228216171264,1e-04,0.17537983,60457224.0,0.0485543,0.021576816,0.21994814,1.1040526628494263,0.2870039939880371,144607680.0,0.09815024584531784,0.05993804335594177,0.3132894039154053
26,1.0507864952087402,1e-04,0.17643113,61731110.0,0.048442613,0.021719914,0.21933827,1.0933592319488525,0.28438979387283325,149061952.0,0.09634137898683548,0.05941442400217056,0.31038907170295715
27,1.0418415546417237,1e-04,0.17445242,61195668.0,0.048361376,0.021647703,0.21977484,1.082055926322937,0.28076696395874023,144167904.0,0.093852698802948,0.05765986815094948,0.3063538670539856
28,1.0318722248077392,1e-04,0.17162706,58599370.0,0.047169384,0.020798454,0.21711,1.0707179307937622,0.2763664126396179,142584000.0,0.0912470668554306,0.0563620962202549,0.30207130312919617
29,1.0252560377120972,1e-04,0.17561704,55944692.0,0.04925125,0.02169076,0.22171506,1.0605928897857666,0.2744644284248352,140973184.0,0.08977050334215164,0.055515073239803314,0.2996172606945038
30,1.012869167327881,1e-04,0.16949406,60333144.0,0.04547151,0.020599756,0.21261723,1.0500377416610718,0.2701645493507385,139779968.0,0.08777378499507904,0.05438268184661865,0.2962664067745209
31,1.0049384593963624,1e-04,0.1680604,57094828.0,0.04608287,0.02018984,0.21449824,1.0387153625488281,0.26649209856987,134905344.0,0.08495683968067169,0.052528273314237595,0.2914735674858093
32,0.9971460819244384,1e-04,0.1705338,59206976.0,0.046764784,0.020653933,0.21599288,1.0292580127716064,0.26531556248664856,135992064.0,0.08393076807260513,0.05220043659210205,0.28970807790756226
33,0.9857969880104065,1e-04,0.16433038,55750452.0,0.043824166,0.019173345,0.2089686,1.019291639328003,0.26279139518737793,136925216.0,0.08234331011772156,0.051490962505340576,0.28695523738861084
34,0.9800591468811035,1e-04,0.1666202,52299630.0,0.046434265,0.019841814,0.21498656,1.0081382989883423,0.2574308514595032,129693152.0,0.07948596775531769,0.049291521310806274,0.2819325625896454
35,0.9706404805183411,1e-04,0.1637934,51552284.0,0.045291204,0.019283194,0.21249458,0.9983371496200562,0.2547440528869629,130993136.0,0.0779256820678711,0.048754848539829254,0.27915170788764954
36,0.9641842484474182,1e-04,0.16873848,56898828.0,0.047048796,0.020520851,0.21675014,0.9889577627182007,0.2536402940750122,126864224.0,0.07671773433685303,0.047658223658800125,0.2769796550273895
37,0.9550509572029113,1e-04,0.17015103,59712104.0,0.046055693,0.0207319,0.21439385,0.97934889793396,0.25125059485435486,130262064.0,0.07519833743572235,0.04733024537563324,0.2742231488227844
