epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,1.298786265509469,1e-04,0.22552091,104012360.0,0.062623516,0.036303416,0.24909484,1.350700855255127,0.3395605981349945,211990352.0,0.14346730709075928,0.0915566086769104,0.37862348556518555
1,1.243191020829337,1e-04,0.18502033,69411310.0,0.048504774,0.023838958,0.21948865,1.3191481828689575,0.3339061737060547,212440752.0,0.13738705217838287,0.08857104927301407,0.37056562304496765
2,1.1963115873790922,1e-04,0.16958158,62671440.0,0.04370388,0.020579336,0.20876937,1.2593557834625244,0.32029974460601807,202423040.0,0.12730014324188232,0.08262676000595093,0.35675668716430664
3,1.1526786202476138,1e-04,0.16575827,62907740.0,0.041542497,0.01981114,0.20337307,1.2094275951385498,0.3098244369029999,197477504.0,0.1190187931060791,0.0778934583067894,0.34496185183525085
4,1.110610394250779,1e-04,0.16077907,59907900.0,0.039763704,0.018749794,0.19905888,1.1626627445220947,0.3004096448421478,191337008.0,0.1112971305847168,0.07359303534030914,0.33351969718933105
5,1.0706378391810827,1e-04,0.15824391,57716180.0,0.038840633,0.01817068,0.19642183,1.1202994585037231,0.2909068465232849,181478864.0,0.10381847620010376,0.06902781128883362,0.321958988904953
6,1.0316564809708368,1e-04,0.15389197,55846600.0,0.037437834,0.017359044,0.19317095,1.0689150094985962,0.27810150384902954,172395632.0,0.09472201019525528,0.06353327631950378,0.30772483348846436
7,0.9945646723111471,1e-04,0.1535609,56485270.0,0.036689408,0.01719841,0.1911765,1.0282927751541138,0.2671763002872467,165459440.0,0.0872434675693512,0.05914521589875221,0.2953363358974457
8,0.9598044157028198,1e-04,0.15145394,52873412.0,0.036965124,0.01701284,0.19139993,0.9930036067962646,0.2583669126033783,158245392.0,0.0810403898358345,0.05527617409825325,0.2845878601074219
9,0.9257373781431288,1e-04,0.15247974,55923330.0,0.03659714,0.01722757,0.19056801,0.9380393624305725,0.24073417484760284,141352400.0,0.0708514079451561,0.04851347208023071,0.26596391201019287
10,0.891298634665353,1e-04,0.1491541,54719610.0,0.034638613,0.016320044,0.18565953,0.9140769839286804,0.23483479022979736,139355840.0,0.0667833760380745,0.04600038006901741,0.2582624554634094
11,0.8596918270701454,1e-04,0.14731558,54280540.0,0.03430327,0.016250998,0.18450338,0.8653424978256226,0.21761198341846466,123791616.0,0.057702142745256424,0.04012710973620415,0.24010872840881348
12,0.828607820329212,1e-04,0.1442815,51572772.0,0.03337404,0.015484663,0.18232533,0.8281375169754028,0.20691661536693573,120453144.0,0.05236367508769035,0.03669833019375801,0.22879080474376678
13,0.7998824091184706,1e-04,0.14620505,53811070.0,0.03366719,0.0159135,0.1826021,0.8025202751159668,0.1978599578142166,115771808.0,0.047857243567705154,0.03375640884041786,0.21861882507801056
14,0.7711984259741647,1e-04,0.14371951,52995060.0,0.032840595,0.015511101,0.18064955,0.7641078233718872,0.1824541538953781,104778528.0,0.040981825441122055,0.029420213773846626,0.20233996212482452
15,0.7434668597720918,1e-04,0.14370234,53702724.0,0.032003254,0.015357548,0.17856061,0.7327437400817871,0.1736602932214737,96639912.0,0.036969754844903946,0.026259681209921837,0.1921486109495163
