epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,0.15765838821729025,1e-05,0.13073587,5311881.5,0.0452191,0.017068082,0.20947371,0.18891286849975586,0.2459041178226471,2754640.0,0.13920873403549194,0.053355664014816284,0.36784565448760986
1,0.1466288480794791,1e-05,0.111422956,6056053.0,0.034314968,0.013132739,0.18171968,0.25398051738739014,0.21018844842910767,6321450.0,0.11564385890960693,0.04520026594400406,0.33384522795677185
2,0.1347833749922839,1e-05,0.09617684,13017329.0,0.022580964,0.009941816,0.14660479,0.24903038144111633,0.17672643065452576,14256744.0,0.0830969586968422,0.03548422455787659,0.27763572335243225
3,0.12835984044905865,1e-05,0.08815189,18070874.0,0.016272653,0.00821292,0.12275414,0.16916711628437042,0.1681598424911499,14247988.0,0.07014045119285583,0.031553611159324646,0.25541719794273376
4,0.12740226089954376,1e-05,0.084770314,16887904.0,0.015425467,0.007643715,0.11870815,0.1809311807155609,0.15860095620155334,12177714.0,0.06558356434106827,0.02958712913095951,0.25001949071884155
5,0.1261799098415808,1e-05,0.08339381,17313094.0,0.014300752,0.0071167834,0.11421676,0.20756739377975464,0.14465868473052979,11070787.0,0.05706728249788284,0.025865014642477036,0.22625243663787842
6,0.12325876183582074,1e-05,0.07508325,16125892.0,0.011468411,0.0057656923,0.10278987,0.1399477869272232,0.14035333693027496,10777295.0,0.051991891115903854,0.02396770566701889,0.2209938019514084
7,0.12351392299839944,1e-05,0.076269105,15745790.0,0.011809658,0.0060297474,0.10263741,0.15664726495742798,0.1319059133529663,11001656.0,0.0438351035118103,0.02079067938029766,0.20095761120319366
8,0.1219620763352423,1e-05,0.0711146,15438937.0,0.010346398,0.005286914,0.096440576,0.1415269821882248,0.12632673978805542,10859961.0,0.04156939312815666,0.01978989876806736,0.19486898183822632
9,0.12202679546493472,1e-05,0.07156949,15936240.0,0.01050433,0.0053125964,0.09917113,0.12106713652610779,0.12436027824878693,10126368.0,0.041642412543296814,0.019748078659176826,0.19609443843364716
10,0.12132023681293834,1e-05,0.069879465,14702480.0,0.009886744,0.0049435506,0.09565014,0.14016927778720856,0.1227497011423111,10662315.0,0.03580784052610397,0.017504611983895302,0.18844877183437347
11,0.12334859190565167,1e-05,0.07861257,17589172.0,0.012008088,0.0062243985,0.10626506,0.14098423719406128,0.12671449780464172,9190080.0,0.043277718126773834,0.020393697544932365,0.20352958142757416
12,0.1213148186604182,1e-05,0.071113996,16291879.0,0.010069086,0.00525248,0.096624956,0.13009579479694366,0.12040023505687714,10364587.0,0.03617403283715248,0.01774485968053341,0.18458916246891022
13,0.12072658403353258,1e-05,0.06935978,16113949.0,0.009574623,0.0050876043,0.09525926,0.13045206665992737,0.12271632999181747,9510245.0,0.038860023021698,0.01864739879965782,0.19378378987312317
14,0.12043836622527151,5e-06,0.0697882,16659611.0,0.009358355,0.004930097,0.09372636,0.1485055834054947,0.11728121340274811,9925573.0,0.034632373601198196,0.016922224313020706,0.179522305727005
15,0.12165973538702185,5e-06,0.07353624,17632242.0,0.010628666,0.0056660715,0.09722063,0.14621184766292572,0.11644316464662552,10347202.0,0.03464559093117714,0.016947055235505104,0.1807359755039215
16,0.11952962049029091,5e-06,0.065861665,15718000.0,0.008545882,0.004472927,0.089676656,0.1198422834277153,0.11570858210325241,10124214.0,0.03523091971874237,0.017157241702079773,0.1772688925266266
17,0.12173356002930438,5e-06,0.07260454,15712995.0,0.010793446,0.0054389746,0.09836251,0.1432369500398636,0.11636507511138916,9956602.0,0.03469596803188324,0.016939403489232063,0.18554343283176422
18,0.12044410046302911,5e-06,0.06923388,16582402.0,0.009547829,0.005142082,0.091377735,0.14597977697849274,0.11496789008378983,10471361.0,0.031849365681409836,0.015761222690343857,0.17167584598064423
19,0.12095804422190695,5e-06,0.07160175,16911044.0,0.0101103885,0.005387052,0.09462688,0.12927371263504028,0.11634529381990433,9538964.0,0.035567112267017365,0.017272356897592545,0.16660815477371216
20,0.11884996949723273,5e-06,0.06591857,16108709.0,0.008048769,0.004382767,0.08771521,0.13810943067073822,0.11707405745983124,9799092.0,0.03467588499188423,0.016951238736510277,0.1804908812046051
21,0.1218980329506325,2.5e-06,0.07403112,18819400.0,0.0111327935,0.0062216097,0.0992422,0.13101135194301605,0.11361145973205566,10024907.0,0.0334567129611969,0.016430208459496498,0.17980201542377472
22,0.1201747168194164,2.5e-06,0.07006966,16376208.0,0.009433683,0.0049591796,0.093714155,0.13054578006267548,0.11328930407762527,10294778.0,0.033619631081819534,0.016490580514073372,0.18185526132583618
23,0.11927433357094273,2.5e-06,0.0673707,16553616.0,0.008556189,0.004518408,0.09024471,0.14689844846725464,0.1159115731716156,10058216.0,0.034927718341350555,0.017146795988082886,0.18309853971004486
24,0.12245259953267647,2.5e-06,0.07670911,17552936.0,0.011759329,0.0062656454,0.102730416,0.12578697502613068,0.1139291375875473,10030428.0,0.032896339893341064,0.016215546056628227,0.17798392474651337
25,0.11914861247395024,1.25e-06,0.06685271,16391533.0,0.008473371,0.0046273083,0.08928822,0.14442962408065796,0.11661037802696228,9775306.0,0.03540239855647087,0.017344070598483086,0.17959478497505188
26,0.12083007056604732,1.25e-06,0.07010455,17223948.0,0.010167712,0.005567972,0.096702956,0.16179722547531128,0.11398059129714966,10172033.0,0.034043774008750916,0.016663623973727226,0.17841194570064545
