"relative_path","filename","experiment","run_id","lifecycle","candidate_id","epoch","size_bytes","sha256","checkpoint_role","canonical_or_mirror","canonical_sha_match","git_lfs_retained","archive_location","archive_verified","backup_copy_1","backup_copy_2","notes"
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0001.hdf5","checkpoint_epoch_0001.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0001","630096","8dd08eae225d5d1ddb89014ca23f04f29f6dbf03a455321e6a5a8f0e782d69ac","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0001.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0002.hdf5","checkpoint_epoch_0002.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0002","630096","4736a156abea817bdc7d559ffc75b7515e6b44c8620623375472761c0ce90ed9","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0002.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0003.hdf5","checkpoint_epoch_0003.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0003","630096","5b2c553ed0d4980c626a2ade5912a209561867b0850e96a9e66d9915471aefd8","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0003.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0004.hdf5","checkpoint_epoch_0004.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0004","630096","3c6bdaa3f4a49baf1b07075d908485983c9c27b11e8d03ea65486818ff0a5b31","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0004.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0005.hdf5","checkpoint_epoch_0005.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0005","630096","e9a8edd9ee2331843268b2db1d3e3eef15b714d5506ddb3f8be5fb3e0514d3a0","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0005.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0006.hdf5","checkpoint_epoch_0006.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0006","630096","839bd1e53e4e71b3256ab6c94694951d7d2457084514ae80178c73a737ed00d6","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0006.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0007.hdf5","checkpoint_epoch_0007.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0007","630096","2db97af6e81ec4e8d6a69f08ef2c387736bbcdd72611e6c34ff72525298067e5","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0007.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0008.hdf5","checkpoint_epoch_0008.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0008","630096","1b00351ede88224ac7b606140f06c8fb07f733b1d9807c344682962df8319f19","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0008.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0009.hdf5","checkpoint_epoch_0009.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0009","630096","8b59edb325ee4bde4047391226c649adfc9f2324362d3a340565fad8d557c956","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0009.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
"reports/Solar Energy Result/Linear_Formal/Experiment_B/20260821T041718Z_seed1234/source_candidates/SRC_lr1e-4/checkpoint_epoch_0010.hdf5","checkpoint_epoch_0010.hdf5","Experiment_B_Plant2_to_Plant1","20260821T041718Z_seed1234","FORMAL_COMPLETED","SRC_lr1e-4","0010","630096","2e6354b8014a43343046a7cfaed8789c6676c6d4dda4cac113524ab3e0c28118","PER_EPOCH_CANDIDATE","CANONICAL","","FALSE","F:\Solar_LSTM_External_Evidence_Backup\checkpoint_archive\Linear_Formal_B\reports\Solar Energy Result\Linear_Formal\Experiment_B\20260821T041718Z_seed1234\source_candidates\SRC_lr1e-4\checkpoint_epoch_0010.hdf5","backup_copy_1=VERIFIED_WITH_SHA_LIMITATION;backup_copy_2=VERIFIED","VERIFIED_WITH_SHA_LIMITATION","VERIFIED","Approved Step 5A archive scope; Step 4 selected/locked paths excluded. Google Drive connector exposes per-file upload only; safe bulk/folder transfer for 4,871 raw checkpoints unavailable in this execution. Google Drive path coverage verified; F-only paths = 0; common-path size mismatch = 0; destination-side SHA256 unavailable; 51 desktop.ini files are non-canonical destination-side auxiliary files."
